3,5067
1322,5219
4624,3026
3777,4417
4435,4970
5193,2105
5454,2443
2820,4518
858,4392
435,1350
1335,2661
5388,1150
2806,1425
5124,3508
5679,5656
5379,5521
3014,1968
3687,1811
1406,5476
2446,3091
4574,5029
3280,2316
2547,1536
4248,5285
5592,2459
4740,2415
827,3914
1414,5615
3991,4366
5907,3916
3321,2338
4888,3825
3279,5650
4017,3879
624,3958
3727,5562
5149,2804
4150,5069
357,419
1584,3417
4316,1227
4161,5537
5852,95
4111,4493
3440,3351
64,3720
349,4882
1108,4333
4151,2294
781,1347
5698,4777
793,4621
2147,4076
178,5537
1996,980
975,1078
5563,1388
711,3451
5955,2777
5752,4879
5907,5421
5770,4423
3172,4624
14,2049
4578,3735
1444,3761
1546,1685
1116,2031
5134,3306
4313,5903
4082,3586
4282,1688
3154,4093
1957,2348
4575,920
5738,1067
5829,5212
4271,760
3752,1106
1072,682
3925,5681
426,3887
254,3028
3471,3640
1437,3906
1796,866
5228,5631
4470,5935
3828,4415
1414,2801
4622,5196
2547,1514
5551,4605
2166,1806
2397,203
5530,5535
4954,3588
2446,3165
5098,2480
3926,2905
4306,4101
2542,2866
2927,1181
5336,5591
254,1882
2295,2995
2576,350
3469,3725
5071,2361
5318,851
5094,5473
5545,5230
342,5395
196,2216
1672,5464
2052,3056
3308,3704
2653,2652
1327,2665
4338,3876
3742,302
4841,631
3403,4220
842,438
715,2221
4147,2682
1587,5183
5013,112
2101,413
4188,5645
3910,2955
1368,1287
2167,5463
4623,4641
4965,367
2523,5461
3469,2551
2857,2253
1021,4268
535,283
1836,5117
1220,1660
4881,5089
291,3744
1358,4355
273,89
5860,2148
5342,655
2933,72
3752,5360
